ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-25T23:02:03.168023264Z,2026-01-25T23:02:03.167492465Z,1,1,7311,T,A,0,52335.000000000,1,0,15401,264599,52335.000000000,52360.000000000,1,5,1,3,NIYH6
2026-01-25T23:02:04.306884430Z,2026-01-25T23:02:04.305650231Z,1,1,7311,T,B,0,52360.000000000,3,0,13527,265836,52340.000000000,52360.000000000,2,4,2,2,NIYH6
2026-01-25T23:02:04.486623157Z,2026-01-25T23:02:04.486378009Z,1,1,7311,T,A,0,52350.000000000,1,0,13026,266599,52350.000000000,52360.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:05.004205632Z,2026-01-25T23:02:05.003963125Z,1,1,7311,T,B,0,52360.000000000,1,0,12825,266890,52355.000000000,52360.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:07.161172698Z,2026-01-25T23:02:07.160923883Z,1,1,7311,T,A,0,52360.000000000,1,0,12625,270235,52360.000000000,52370.000000000,1,4,1,2,NIYH6
2026-01-25T23:02:11.209668832Z,2026-01-25T23:02:11.208925375Z,1,1,7311,T,A,0,52325.000000000,1,0,13585,282627,52325.000000000,52335.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:11.669514984Z,2026-01-25T23:02:11.669283127Z,1,1,7311,T,B,0,52310.000000000,1,0,12591,285448,52295.000000000,52310.000000000,3,1,3,1,NIYH6
2026-01-25T23:02:13.612127923Z,2026-01-25T23:02:13.611711653Z,1,1,7311,T,B,0,52310.000000000,1,0,14584,291074,52295.000000000,52310.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:16.312643866Z,2026-01-25T23:02:16.312385367Z,1,1,7311,T,A,0,52300.000000000,1,0,13149,293984,52300.000000000,52315.000000000,1,2,1,2,NIYH6
2026-01-25T23:02:18.734749204Z,2026-01-25T23:02:18.734526153Z,1,1,7311,T,A,0,52295.000000000,1,0,13154,298810,52295.000000000,52300.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:20.433921073Z,2026-01-25T23:02:20.433706385Z,1,1,7311,T,A,0,52290.000000000,1,0,13089,303528,52290.000000000,52300.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:21.396146025Z,2026-01-25T23:02:21.395831267Z,1,1,7311,T,B,0,52290.000000000,1,0,13857,304957,52275.000000000,52290.000000000,2,1,2,1,NIYH6
2026-01-25T23:02:21.396146025Z,2026-01-25T23:02:21.395831267Z,1,1,7311,T,B,0,52300.000000000,1,0,13857,304957,52275.000000000,52290.000000000,2,1,2,1,NIYH6
2026-01-25T23:02:21.396506244Z,2026-01-25T23:02:21.396151259Z,1,1,7311,T,A,0,52275.000000000,1,0,11718,304959,52275.000000000,52305.000000000,2,2,2,2,NIYH6
2026-01-25T23:02:21.396607369Z,2026-01-25T23:02:21.396161377Z,1,1,7311,T,A,0,52275.000000000,1,0,11852,304961,52275.000000000,52305.000000000,1,2,1,2,NIYH6
2026-01-25T23:02:23.347660605Z,2026-01-25T23:02:23.347381309Z,1,1,7311,T,A,0,52280.000000000,1,0,15970,308482,52280.000000000,52295.000000000,1,2,1,2,NIYH6
2026-01-25T23:02:23.348416999Z,2026-01-25T23:02:23.347390219Z,1,1,7311,T,A,0,52275.000000000,1,128,15123,308484,52270.000000000,52295.000000000,1,2,1,2,NIYH6
2026-01-25T23:02:25.294948566Z,2026-01-25T23:02:25.294682493Z,1,1,7311,T,A,0,52265.000000000,1,0,13277,310382,52265.000000000,52280.000000000,2,2,2,2,NIYH6
2026-01-25T23:02:25.294978040Z,2026-01-25T23:02:25.294691767Z,1,1,7311,T,A,0,52265.000000000,1,0,13407,310383,52265.000000000,52280.000000000,1,2,1,2,NIYH6
2026-01-25T23:02:25.909308172Z,2026-01-25T23:02:25.908460993Z,1,1,7311,T,A,0,52260.000000000,2,0,12914,310535,52250.000000000,52265.000000000,1,3,1,2,NIYH6
2026-01-25T23:02:25.909545679Z,2026-01-25T23:02:25.908462761Z,1,1,7311,T,A,0,52260.000000000,1,0,13066,310537,52250.000000000,52265.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:27.310388660Z,2026-01-25T23:02:27.310138943Z,1,1,7311,T,A,0,52250.000000000,1,0,20050,311492,52250.000000000,52265.000000000,2,1,2,1,NIYH6
2026-01-25T23:02:27.310405685Z,2026-01-25T23:02:27.310147353Z,1,1,7311,T,A,0,52250.000000000,1,0,13653,311493,52250.000000000,52265.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:29.737498355Z,2026-01-25T23:02:29.737239865Z,1,1,7311,T,A,0,52240.000000000,1,0,13392,314397,52240.000000000,52255.000000000,1,3,1,3,NIYH6
2026-01-25T23:02:33.056760218Z,2026-01-25T23:02:33.056493137Z,1,1,7311,T,B,0,52240.000000000,2,0,12898,317950,52230.000000000,52240.000000000,2,3,2,3,NIYH6
2026-01-25T23:02:33.056974563Z,2026-01-25T23:02:33.056769299Z,1,1,7311,T,B,0,52240.000000000,1,0,12985,317952,52230.000000000,52240.000000000,2,1,2,1,NIYH6
2026-01-25T23:02:33.351256655Z,2026-01-25T23:02:33.350909007Z,1,1,7311,T,A,0,52230.000000000,2,0,18287,318179,52230.000000000,52245.000000000,2,3,2,3,NIYH6
2026-01-25T23:02:33.351256655Z,2026-01-25T23:02:33.350909007Z,1,1,7311,T,A,0,52220.000000000,1,0,18287,318179,52230.000000000,52245.000000000,2,3,2,3,NIYH6
2026-01-25T23:02:34.662678801Z,2026-01-25T23:02:34.662430561Z,1,1,7311,T,B,0,52245.000000000,4,0,12819,320241,52230.000000000,52245.000000000,3,4,3,4,NIYH6
2026-01-25T23:02:35.539055068Z,2026-01-25T23:02:35.538831765Z,1,1,7311,T,A,0,52240.000000000,1,0,13763,320711,52240.000000000,52255.000000000,2,3,2,3,NIYH6
2026-01-25T23:02:35.592138709Z,2026-01-25T23:02:35.591918173Z,1,1,7311,T,A,0,52240.000000000,1,0,12779,320762,52240.000000000,52255.000000000,1,3,1,3,NIYH6
2026-01-25T23:02:35.653050949Z,2026-01-25T23:02:35.652816939Z,1,1,7311,T,A,0,52235.000000000,1,0,13105,320780,52235.000000000,52255.000000000,1,3,1,3,NIYH6
2026-01-25T23:02:35.705742151Z,2026-01-25T23:02:35.705512279Z,1,1,7311,T,A,0,52230.000000000,1,0,13206,320818,52230.000000000,52250.000000000,1,1,1,1,NIYH6
2026-01-25T23:02:56.802236763Z,2026-01-25T23:02:56.801241971Z,1,1,7311,T,A,0,52255.000000000,2,0,13403,337372,52255.000000000,52320.000000000,2,2,2,2,NIYH6
